author	said	one		two		know	now		like	little	come	thought	man 	time 	life 	never  	looked 	eyes
Maugham_1916	0.00624	0.00422	0.00189	0.00260	0.00283	0.00246	0.00313	0.00209	0.00296	0.00167	0.00187	0.00164	0.00209	0.00238	0.00146	
Maugham_1919	0.00548	0.00381	0.00111	0.00383	0.00227	0.00279	0.00283	0.00213	0.00243	0.00272	0.00097	0.00193	0.00281	0.00188	0.00188	
Maugham_1937_1	0.00456	0.00349	0.00135	0.00372	0.00356	0.00318	0.00451	0.00247	0.00288	0.00165	0.00119	0.00104	0.00281	0.00221	0.00318
Maugham_1937_2	0.00387	0.00408	0.00167	0.00417	0.00245	0.00339	0.00298	0.00191	0.00311	0.00175	0.00158	0.00110	0.00254	0.00197	0.00188
London_1915		0.00179	0.00339 0.00158	0.00195	0.00179	0.00166	0.00176	0.00078	0.00068	0.00312	0.00324	0.00125	0.00165	0.00041	0.00136	
London_1916		0.00236	0.00345	0.00180	0.00251	0.00556	0.00146	0.00144	0.00126	0.00107	0.00197	0.00216	0.00079	0.00182	0.00082	0.00221
London_1917		0.00061	0.00336	0.00191	0.00147	0.00073	0.00173	0.00110	0.00093	0.00068	0.00196	0.00243	0.00128	0.00201	0.00046 0.00163
London_1920		0.00287	0.00365	0.00210	0.00206	0.00238 0.00209	0.00103	0.00118	0.00072	0.00324	0.00221	0.00064	0.00145	0.00082	0.00207
Fitzgerald_1925	0.00622	0.00460	0.00194	0.00255	0.00258	0.00319	0.00274	0.00228	0.00125	0.00282	0.00218	0.00080 0.00170	0.00221	0.00228
Fitzgerald_1934	0.00488	0.00385	0.00198	0.00216	0.00243	0.00337	0.00203	0.00164	0.00138	0.00204	0.00216	0.00088	0.00122	0.00143	0.00144
Wolf_1925		0.00776	0.00578	0.00069	0.00101	0.00373	0.00447	0.00254	0.00172	0.00476	0.00191	0.00174	0.00201	0.00210	0.00147	0.00126
Wolf_1927		0.00735	0.00789	0.00077	0.00067	0.00413	0.00418	0.00286	0.00165	0.00529	0.00146	0.00151	0.00120	0.00193	0.00248 0.00183
Wolf_1928		0.00265	0.00536	0.00133	0.00162	0.00389	0.00242	0.00176	0.00123	0.00206 0.00184	0.00205	0.00187	0.00151	0.00109	0.00112
